policy,metric,estimator,value,se_user_cluster
P1_Best_safe_static,ad_density,IPS,1.007388,0.005872647975698569
P1_Best_safe_static,ad_density,DR,1.0,0.0
P1_Best_safe_static,ad_density,SNIPS,1.0,
P2_Global_AB_winner,advertiser_value,IPS,0.022842154160602483,0.0011732092703424896
P2_Global_AB_winner,advertiser_value,DR,0.022842154160602483,0.0011732092703424896
P2_Global_AB_winner,advertiser_value,SNIPS,0.02286337136923313,
P2_Global_AB_winner,user_utility,IPS,0.7239663501658213,0.004271204373435067
P2_Global_AB_winner,user_utility,DR,0.724614603731645,0.0004822107988327049
P2_Global_AB_winner,user_utility,SNIPS,0.7246388149861285,
P2_Global_AB_winner,abandonment,IPS,0.087972,0.0012719361935398215
P2_Global_AB_winner,abandonment,DR,0.087972,0.0012719361935398215
P2_Global_AB_winner,abandonment,SNIPS,0.0880537138464495,
P2_Global_AB_winner,organic_engagement,IPS,0.5136295971922874,0.0030766778057138497
P2_Global_AB_winner,organic_engagement,DR,0.5142518266301022,0.0006109950515383752
P2_Global_AB_winner,organic_engagement,SNIPS,0.514106688198936,
P2_Global_AB_winner,low_relevance_exposure,IPS,0.206616,0.0020318079746936193
P2_Global_AB_winner,low_relevance_exposure,DR,0.20785696098980067,0.0005025154330492213
P2_Global_AB_winner,low_relevance_exposure,SNIPS,0.20680791774766985,
P2_Global_AB_winner,ad_density,IPS,1.998144,0.011703890578578784
P2_Global_AB_winner,ad_density,DR,2.0,0.0
P2_Global_AB_winner,ad_density,SNIPS,2.0,
P3_CTR_greedy,advertiser_value,IPS,0.022842154160602483,0.0011732092703424896
P3_CTR_greedy,advertiser_value,DR,0.022842154160602483,0.0011732092703424896
P3_CTR_greedy,advertiser_value,SNIPS,0.02286337136923313,
P3_CTR_greedy,user_utility,IPS,0.7239663501658213,0.004271204373435067
P3_CTR_greedy,user_utility,DR,0.724614603731645,0.0004822107988327049
P3_CTR_greedy,user_utility,SNIPS,0.7246388149861285,
P3_CTR_greedy,abandonment,IPS,0.087972,0.0012719361935398215
P3_CTR_greedy,abandonment,DR,0.087972,0.0012719361935398215
P3_CTR_greedy,abandonment,SNIPS,0.0880537138464495,
P3_CTR_greedy,organic_engagement,IPS,0.5136295971922874,0.0030766778057138497
P3_CTR_greedy,organic_engagement,DR,0.5142518266301022,0.0006109950515383752
P3_CTR_greedy,organic_engagement,SNIPS,0.514106688198936,
P3_CTR_greedy,low_relevance_exposure,IPS,0.206616,0.0020318079746936193
P3_CTR_greedy,low_relevance_exposure,DR,0.20785696098980067,0.0005025154330492213
P3_CTR_greedy,low_relevance_exposure,SNIPS,0.20680791774766985,
P3_CTR_greedy,ad_density,IPS,1.998144,0.011703890578578784
P3_CTR_greedy,ad_density,DR,2.0,0.0
P3_CTR_greedy,ad_density,SNIPS,2.0,
P4_Relevance_constrained_CTR,advertiser_value,IPS,0.022505730077029593,0.001135797723398315
P4_Relevance_constrained_CTR,advertiser_value,DR,0.022505730077029593,0.001135797723398315
P4_Relevance_constrained_CTR,advertiser_value,SNIPS,0.02255915014457194,
P4_Relevance_constrained_CTR,user_utility,IPS,0.7285543738471917,0.003871662897353584
P4_Relevance_constrained_CTR,user_utility,DR,0.7301876851931685,0.0004831626931039252
P4_Relevance_constrained_CTR,user_utility,SNIPS,0.7302836856147273,
P4_Relevance_constrained_CTR,abandonment,IPS,0.082392,0.0012168618677390862
P4_Relevance_constrained_CTR,abandonment,DR,0.082392,0.0012168618677390862
P4_Relevance_constrained_CTR,abandonment,SNIPS,0.08258756735950733,
P4_Relevance_constrained_CTR,organic_engagement,IPS,0.5187084520960539,0.002771357159004406
P4_Relevance_constrained_CTR,organic_engagement,DR,0.5202302559374705,0.0006086079256514166
P4_Relevance_constrained_CTR,organic_engagement,SNIPS,0.5199396692327971,
P4_Relevance_constrained_CTR,low_relevance_exposure,IPS,0.0,0.0
P4_Relevance_constrained_CTR,low_relevance_exposure,DR,0.0,0.0
P4_Relevance_constrained_CTR,low_relevance_exposure,SNIPS,0.0,
P4_Relevance_constrained_CTR,ad_density,IPS,1.995264,0.010460477548099992
P4_Relevance_constrained_CTR,ad_density,DR,2.0,0.0
P4_Relevance_constrained_CTR,ad_density,SNIPS,2.0,
P5_Unconstrained_CATE,advertiser_value,IPS,0.017975562130566215,0.0010602930762853217
P5_Unconstrained_CATE,advertiser_value,DR,0.017975562130566215,0.0010602930762853217
P5_Unconstrained_CATE,advertiser_value,SNIPS,0.01783523450547712,
P5_Unconstrained_CATE,user_utility,IPS,0.7366343358059099,0.004307808234048817
P5_Unconstrained_CATE,user_utility,DR,0.730880455297187,0.00047744873648725313
P5_Unconstrained_CATE,user_utility,SNIPS,0.7308837425197644,
P5_Unconstrained_CATE,abandonment,IPS,0.085536,0.001212063199454162
P5_Unconstrained_CATE,abandonment,DR,0.085536,0.001212063199454162
P5_Unconstrained_CATE,abandonment,SNIPS,0.08486825655740633,
P5_Unconstrained_CATE,organic_engagement,IPS,0.5530894866261741,0.003277667646323611
P5_Unconstrained_CATE,organic_engagement,DR,0.5487192199115078,0.0006104101108412244
P5_Unconstrained_CATE,organic_engagement,SNIPS,0.5487717504932929,
P5_Unconstrained_CATE,low_relevance_exposure,IPS,0.209472,0.0020522174936524677
P5_Unconstrained_CATE,low_relevance_exposure,DR,0.20809732660834632,0.0005039282795052496
P5_Unconstrained_CATE,low_relevance_exposure,SNIPS,0.20783674052554502,
P5_Unconstrained_CATE,ad_density,IPS,1.007868,0.005856213319207471
P5_Unconstrained_CATE,ad_density,DR,1.0,0.0
P5_Unconstrained_CATE,ad_density,SNIPS,1.0,
P6_AIX_constrained,advertiser_value,IPS,0.017975562130566215,0.0010602930762853217
P6_AIX_constrained,advertiser_value,DR,0.017975562130566215,0.0010602930762853217
P6_AIX_constrained,advertiser_value,SNIPS,0.01783523450547712,
P6_AIX_constrained,user_utility,IPS,0.7366343358059099,0.004307808234048817
P6_AIX_constrained,user_utility,DR,0.730880455297187,0.00047744873648725313
P6_AIX_constrained,user_utility,SNIPS,0.7308837425197644,
P6_AIX_constrained,abandonment,IPS,0.085536,0.001212063199454162
P6_AIX_constrained,abandonment,DR,0.085536,0.001212063199454162
P6_AIX_constrained,abandonment,SNIPS,0.08486825655740633,
P6_AIX_constrained,organic_engagement,IPS,0.5530894866261741,0.003277667646323611
P6_AIX_constrained,organic_engagement,DR,0.5487192199115078,0.0006104101108412244
P6_AIX_constrained,organic_engagement,SNIPS,0.5487717504932929,
P6_AIX_constrained,low_relevance_exposure,IPS,0.209472,0.0020522174936524677
P6_AIX_constrained,low_relevance_exposure,DR,0.20809732660834632,0.0005039282795052496
P6_AIX_constrained,low_relevance_exposure,SNIPS,0.20783674052554502,
P6_AIX_constrained,ad_density,IPS,1.007868,0.005856213319207471
P6_AIX_constrained,ad_density,DR,1.0,0.0
P6_AIX_constrained,ad_density,SNIPS,1.0,
