treatment,metric,effect,relative_effect,control_mean,se,ci_low,ci_high,p_value,margin,higher_is_better,noninferiority_pass
conversational_sponsored__inline__two,reformulation,0.012028148697083269,0.06526625014696771,0.18429354635815706,0.00032662169820133825,0.011387970168608645,0.012668327225557892,7.1020323827907e-297,0.01,False,False
classic_text__top__two,organic_engagement,-0.03512690742388369,-0.06398766702378096,0.5489637153176534,0.00019631556450811584,-0.0355116859303196,-0.03474212891744778,0.0,-0.015,True,False
classic_text__inline__one,organic_engagement,0.027781502918044154,0.050607175197305364,0.5489637153176534,0.00023434904375885688,0.027322178792276795,0.028240827043811513,0.0,-0.015,True,True
classic_text__inline__two,organic_engagement,-0.007022854820399105,-0.012792930797503413,0.5489637153176534,0.00016986427152424022,-0.0073557887925866155,-0.006689920848211594,0.0,-0.015,True,True
rich_product__top__one,organic_engagement,-0.00013151659419241568,-0.00023957247177313834,0.5489637153176534,0.0001783384423176185,-0.00048105994113494796,0.0002180267527501166,0.46084563708742843,-0.015,True,True
rich_product__top__two,organic_engagement,-0.035045924215109214,-0.06384014687533615,0.5489637153176534,0.00021287396492649448,-0.03546315718636514,-0.03462869124385329,0.0,-0.015,True,False
rich_product__inline__one,organic_engagement,0.02782703950228116,0.05069012527755003,0.5489637153176534,0.0002006755943219981,0.027433715337410042,0.028220363667152276,0.0,-0.015,True,True
rich_product__inline__two,organic_engagement,-0.006966113899884441,-0.012689570741216577,0.5489637153176534,0.00021329664016033907,-0.007384175314598705,-0.006548052485170176,5.917373443186926e-234,-0.015,True,True
conversational_sponsored__top__one,organic_engagement,-7.74967937237081e-05,-0.00014116924591066134,0.5489637153176534,0.00014308121023808354,-0.00035793596579035186,0.00020294237834293566,0.5880747796860355,-0.015,True,True
conversational_sponsored__top__two,organic_engagement,-0.03514673927938183,-0.06402379300978837,0.5489637153176534,0.00024790298109404323,-0.035632629122326155,-0.03466084943643751,0.0,-0.015,True,False
conversational_sponsored__inline__one,organic_engagement,0.027819373802910663,0.05067616133210773,0.5489637153176534,0.00018239705538238986,0.02746187557436118,0.028176872031460146,0.0,-0.015,True,True
conversational_sponsored__inline__two,organic_engagement,-0.007184344226305317,-0.013087102163297176,0.5489637153176534,0.00020739114916977557,-0.007590830878678077,-0.006777857573932557,5.994360223860049e-263,-0.015,True,True
classic_text__top__two,low_relevance_exposure,0.0003990769018526463,0.0019187770028903138,0.20798503486934872,0.00042443986905799113,-0.0004328252415010163,0.0012309790452063088,0.3470925842469953,0.01,False,True
classic_text__inline__one,low_relevance_exposure,-0.20798503486934872,-1.0,0.20798503486934872,0.00031228002544930197,-0.20859710371922935,-0.20737296601946809,0.0,0.01,False,True
classic_text__inline__two,low_relevance_exposure,-0.20798503486934872,-1.0,0.20798503486934872,0.00031228002544930197,-0.20859710371922935,-0.20737296601946809,0.0,0.01,False,True
rich_product__top__one,low_relevance_exposure,0.00020687127440402464,0.0009946449970978744,0.20798503486934872,0.000509150063927756,-0.000791062850894377,0.0012048053997024263,0.6845169858782645,0.01,False,True
rich_product__top__two,low_relevance_exposure,-0.0004244545645007425,-0.0020407937752222162,0.20798503486934872,0.0005509772289787888,-0.0015043699332991684,0.0006554608042976834,0.44108234178189754,0.01,False,True
rich_product__inline__one,low_relevance_exposure,-0.20798503486934872,-1.0,0.20798503486934872,0.00031228002544930197,-0.20859710371922935,-0.20737296601946809,0.0,0.01,False,True
rich_product__inline__two,low_relevance_exposure,-0.20798503486934872,-1.0,0.20798503486934872,0.00031228002544930197,-0.20859710371922935,-0.20737296601946809,0.0,0.01,False,True
conversational_sponsored__top__one,low_relevance_exposure,6.15259772121235e-05,0.0002958192508935687,0.20798503486934872,0.00042171038126903273,-0.0007650263700751806,0.0008880783244994276,0.8840032657749333,0.01,False,True
conversational_sponsored__top__two,low_relevance_exposure,-0.00020301772071332214,-0.0009761169636116035,0.20798503486934872,0.000306499965021308,-0.0008037576521550858,0.0003977222107284415,0.5077313263445442,0.01,False,True
conversational_sponsored__inline__one,low_relevance_exposure,-0.20798503486934872,-1.0,0.20798503486934872,0.00031228002544930197,-0.20859710371922935,-0.20737296601946809,0.0,0.01,False,True
conversational_sponsored__inline__two,low_relevance_exposure,-0.20798503486934872,-1.0,0.20798503486934872,0.00031228002544930197,-0.20859710371922935,-0.20737296601946809,0.0,0.01,False,True
classic_text__top__two,ad_density,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.25,False,False
classic_text__inline__one,ad_density,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.25,False,True
classic_text__inline__two,ad_density,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.25,False,False
rich_product__top__one,ad_density,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.25,False,True
rich_product__top__two,ad_density,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.25,False,False
rich_product__inline__one,ad_density,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.25,False,True
rich_product__inline__two,ad_density,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.25,False,False
conversational_sponsored__top__one,ad_density,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.25,False,True
conversational_sponsored__top__two,ad_density,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.25,False,False
conversational_sponsored__inline__one,ad_density,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.25,False,True
conversational_sponsored__inline__two,ad_density,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.25,False,False
